GEN_TPS_1	GEN_TPS_2	gen_predetermined_commit
Oahu_Coal_Generic	2025081012	185
Oahu_Coal_Generic	2025081014	185
Oahu_Coal_Generic	2025081016	185
Oahu_Coal_Generic	2025081018	185
Oahu_Coal_Generic	2025081020	185
Oahu_Coal_Generic	2025081022	185
Oahu_Coal_Generic	2025101000	185
Oahu_Coal_Generic	2025101002	185
Oahu_Coal_Generic	2025101004	185
Oahu_Coal_Generic	2025101006	185
Oahu_Coal_Generic	2025101008	185
Oahu_Coal_Generic	2025101010	185
Oahu_Coal_Generic	2025101012	185
Oahu_Coal_Generic	2025101014	185
Oahu_Coal_Generic	2025101016	185
Oahu_Coal_Generic	2025101018	185
Oahu_Coal_Generic	2025101020	185
Oahu_Coal_Generic	2025101022	185
Oahu_Coal_Generic	2025121000	185
Oahu_Coal_Generic	2025121002	185
Oahu_Coal_Generic	2025121004	185
Oahu_Coal_Generic	2025121006	185
Oahu_Coal_Generic	2025121008	185
Oahu_Coal_Generic	2025121010	185
Oahu_Coal_Generic	2025121012	185
Oahu_Coal_Generic	2025121014	185
Oahu_Coal_Generic	2025121016	185
Oahu_Coal_Generic	2025121018	185
Oahu_Coal_Generic	2025121020	185
Oahu_Coal_Generic	2025121022	185
Oahu_Coal_Generic	2030021400	185
Oahu_Coal_Generic	2030021402	185
Oahu_Coal_Generic	2030021404	185
Oahu_Coal_Generic	2030021406	185
Oahu_Coal_Generic	2030021408	185
Oahu_Coal_Generic	2030021410	185
Oahu_Coal_Generic	2030021412	185
Oahu_Coal_Generic	2030021414	185
Oahu_Coal_Generic	2030021416	185
Oahu_Coal_Generic	2030021418	185
Oahu_Coal_Generic	2030021420	185
Oahu_Coal_Generic	2030021422	185
Oahu_Coal_Generic	2030041400	104.4082965
Oahu_Coal_Generic	2030041402	185
Oahu_Coal_Generic	2030041404	185
Oahu_Coal_Generic	2030041406	84.77117946
Oahu_Coal_Generic	2030041408	0
Oahu_Coal_Generic	2030041410	0
Oahu_Coal_Generic	2030041412	185
Oahu_Coal_Generic	2030041414	0
Oahu_Coal_Generic	2030041416	185
Oahu_Coal_Generic	2030041418	185
Oahu_Coal_Generic	2030041420	185
Oahu_Coal_Generic	2030041422	90.30316146
Oahu_Coal_Generic	2030061400	185
Oahu_Coal_Generic	2030061402	22.35001136
Oahu_Coal_Generic	2030061404	19.35468814
Oahu_Coal_Generic	2030061406	185
Oahu_Coal_Generic	2030061408	0
Oahu_Coal_Generic	2030061410	185
Oahu_Coal_Generic	2030061412	185
Oahu_Coal_Generic	2030061414	0
Oahu_Coal_Generic	2030061416	0
Oahu_Coal_Generic	2030061418	185
Oahu_Coal_Generic	2030061420	185
Oahu_Coal_Generic	2030061422	157.3929956
Oahu_Coal_Generic	2030081400	185
Oahu_Coal_Generic	2030081402	185
Oahu_Coal_Generic	2030081404	185
Oahu_Coal_Generic	2030081406	185
Oahu_Coal_Generic	2030081408	0
Oahu_Coal_Generic	2030081410	0
Oahu_Coal_Generic	2030081412	185
Oahu_Coal_Generic	2030081414	185
Oahu_Coal_Generic	2030081416	0
Oahu_Coal_Generic	2030081418	185
Oahu_Coal_Generic	2030081420	185
Oahu_Coal_Generic	2030081422	185
Oahu_Coal_Generic	2030101400	185
Oahu_Coal_Generic	2030101402	185
Oahu_Coal_Generic	2030101404	185
Oahu_Coal_Generic	2030101406	185
Oahu_Coal_Generic	2030101408	185
Oahu_Coal_Generic	2030101410	185
Oahu_Coal_Generic	2030101412	185
Oahu_Coal_Generic	2030101414	185
Oahu_Coal_Generic	2030101416	185
Oahu_Coal_Generic	2030101418	185
Oahu_Coal_Generic	2030101420	185
Oahu_Coal_Generic	2030101422	185
Oahu_Coal_Generic	2030121400	185
Oahu_Coal_Generic	2030121402	0
Oahu_Coal_Generic	2030121404	5.036476084
Oahu_Coal_Generic	2030121406	185
Oahu_Coal_Generic	2030121408	185
Oahu_Coal_Generic	2030121410	0
Oahu_Coal_Generic	2030121412	185
Oahu_Coal_Generic	2030121414	0
Oahu_Coal_Generic	2030121416	185
Oahu_Coal_Generic	2030121418	185
Oahu_Coal_Generic	2030121420	185
Oahu_Coal_Generic	2030121422	185
Oahu_Coal_Generic	2035021800	185
Oahu_Coal_Generic	2035021802	185
Oahu_Coal_Generic	2035021804	185
Oahu_Coal_Generic	2035021806	185
Oahu_Coal_Generic	2035021808	185
Oahu_Coal_Generic	2035021810	185
Oahu_Coal_Generic	2035021812	185
Oahu_Coal_Generic	2035021814	185
Oahu_Coal_Generic	2035021816	185
Oahu_Coal_Generic	2035021818	185
Oahu_Coal_Generic	2035021820	185
Oahu_Coal_Generic	2035021822	185
Oahu_Coal_Generic	2035041800	185
Oahu_Coal_Generic	2035041802	185
Oahu_Coal_Generic	2035041804	185
Oahu_Coal_Generic	2035041806	185
Oahu_Coal_Generic	2035041808	185
Oahu_Coal_Generic	2035041810	185
Oahu_Coal_Generic	2035041812	185
Oahu_Coal_Generic	2035041814	185
Oahu_Coal_Generic	2035041816	185
Oahu_Coal_Generic	2035041818	185
Oahu_Coal_Generic	2035041820	185
Oahu_Coal_Generic	2035041822	185
Oahu_Coal_Generic	2035061800	185
Oahu_Coal_Generic	2035061802	185
Oahu_Coal_Generic	2035061804	185
Oahu_Coal_Generic	2035061806	185
Oahu_Coal_Generic	2035061808	185
Oahu_Coal_Generic	2035061810	185
Oahu_Coal_Generic	2035061812	185
Oahu_Coal_Generic	2035061814	185
Oahu_Coal_Generic	2035061816	19.57911038
Oahu_Coal_Generic	2035061818	185
Oahu_Coal_Generic	2035061820	185
Oahu_Coal_Generic	2035061822	185
Oahu_Coal_Generic	2035081800	185
Oahu_Coal_Generic	2035081802	185
Oahu_Coal_Generic	2035081804	185
Oahu_Coal_Generic	2035081806	185
Oahu_Coal_Generic	2035081808	185
Oahu_Coal_Generic	2035081810	185
Oahu_Coal_Generic	2035081812	185
Oahu_Coal_Generic	2035081814	0
Oahu_Coal_Generic	2035081816	185
Oahu_Coal_Generic	2035081818	185
Oahu_Coal_Generic	2035081820	185
Oahu_Coal_Generic	2035081822	185
Oahu_Coal_Generic	2035101800	185
Oahu_Coal_Generic	2035101802	185
Oahu_Coal_Generic	2035101804	185
Oahu_Coal_Generic	2035101806	185
Oahu_Coal_Generic	2035101808	185
Oahu_Coal_Generic	2035101810	185
Oahu_Coal_Generic	2035101812	185
Oahu_Coal_Generic	2035101814	0
Oahu_Coal_Generic	2035101816	185
Oahu_Coal_Generic	2035101818	185
Oahu_Coal_Generic	2035101820	185
Oahu_Coal_Generic	2035101822	185
Oahu_Coal_Generic	2035121800	185
Oahu_Coal_Generic	2035121802	185
Oahu_Coal_Generic	2035121804	185
Oahu_Coal_Generic	2035121806	185
Oahu_Coal_Generic	2035121808	185
Oahu_Coal_Generic	2035121810	185
Oahu_Coal_Generic	2035121812	185
Oahu_Coal_Generic	2035121814	185
Oahu_Coal_Generic	2035121816	185
Oahu_Coal_Generic	2035121818	185
Oahu_Coal_Generic	2035121820	185
Oahu_Coal_Generic	2035121822	185
Oahu_Coal_Generic	2040022200	185
Oahu_Coal_Generic	2040022202	185
Oahu_Coal_Generic	2040022204	147.9324669
Oahu_Coal_Generic	2040022206	185
Oahu_Coal_Generic	2040022208	0
Oahu_Coal_Generic	2040022210	0
Oahu_Coal_Generic	2040022212	0
Oahu_Coal_Generic	2040022214	0
Oahu_Coal_Generic	2040022216	0
Oahu_Coal_Generic	2040022218	185
Oahu_Coal_Generic	2040022220	185
Oahu_Coal_Generic	2040022222	185
Oahu_Coal_Generic	2040042200	168.3246809
Oahu_Coal_Generic	2040042202	110.4317596
Oahu_Coal_Generic	2040042204	185
Oahu_Coal_Generic	2040042206	185
Oahu_Coal_Generic	2040042208	0
Oahu_Coal_Generic	2040042210	0
Oahu_Coal_Generic	2040042212	0
Oahu_Coal_Generic	2040042214	0
Oahu_Coal_Generic	2040042216	0
Oahu_Coal_Generic	2040042218	185
Oahu_Coal_Generic	2040042220	185
Oahu_Coal_Generic	2040042222	185
Oahu_Coal_Generic	2040062200	64.75744825
Oahu_Coal_Generic	2040062202	76.16702295
Oahu_Coal_Generic	2040062204	185
Oahu_Coal_Generic	2040062206	129.0230592
Oahu_Coal_Generic	2040062208	0
Oahu_Coal_Generic	2040062210	0
Oahu_Coal_Generic	2040062212	0
Oahu_Coal_Generic	2040062214	0
Oahu_Coal_Generic	2040062216	0
Oahu_Coal_Generic	2040062218	185
Oahu_Coal_Generic	2040062220	185
Oahu_Coal_Generic	2040062222	185
Oahu_Coal_Generic	2040082200	185
Oahu_Coal_Generic	2040082202	185
Oahu_Coal_Generic	2040082204	185
Oahu_Coal_Generic	2040082206	185
Oahu_Coal_Generic	2040082208	185
Oahu_Coal_Generic	2040082210	0
Oahu_Coal_Generic	2040082212	185
Oahu_Coal_Generic	2040082214	185
Oahu_Coal_Generic	2040082216	185
Oahu_Coal_Generic	2040082218	185
Oahu_Coal_Generic	2040082220	185
Oahu_Coal_Generic	2040082222	185
Oahu_Coal_Generic	2040102200	185
Oahu_Coal_Generic	2040102202	185
Oahu_Coal_Generic	2040102204	185
Oahu_Coal_Generic	2040102206	185
Oahu_Coal_Generic	2040102208	185
Oahu_Coal_Generic	2040102210	185
Oahu_Coal_Generic	2040102212	185
Oahu_Coal_Generic	2040102214	185
Oahu_Coal_Generic	2040102216	185
Oahu_Coal_Generic	2040102218	185
Oahu_Coal_Generic	2040102220	185
Oahu_Coal_Generic	2040102222	185
Oahu_Coal_Generic	2040122200	185
Oahu_Coal_Generic	2040122202	185
Oahu_Coal_Generic	2040122204	185
Oahu_Coal_Generic	2040122206	117.8346296
Oahu_Coal_Generic	2040122208	185
Oahu_Coal_Generic	2040122210	0
Oahu_Coal_Generic	2040122212	0
Oahu_Coal_Generic	2040122214	185
Oahu_Coal_Generic	2040122216	185
Oahu_Coal_Generic	2040122218	185
Oahu_Coal_Generic	2040122220	185
Oahu_Coal_Generic	2040122222	166.0990888
Oahu_H-Power	2020020200	42.80000001
Oahu_H-Power	2020020202	42.80000001
Oahu_H-Power	2020020204	42.80000001
Oahu_H-Power	2020020206	42.80000001
Oahu_H-Power	2020020208	42.80000001
Oahu_H-Power	2020020210	42.80000001
Oahu_H-Power	2020020212	42.80000001
Oahu_H-Power	2020020214	42.80000001
Oahu_H-Power	2020020216	42.80000001
Oahu_H-Power	2020020218	42.80000001
Oahu_H-Power	2020020220	42.80000001
Oahu_H-Power	2020020222	42.80000001
Oahu_H-Power	2020040200	42.80000001
Oahu_H-Power	2020040202	42.80000001
Oahu_H-Power	2020040204	42.80000001
Oahu_H-Power	2020040206	42.80000001
Oahu_H-Power	2020040208	42.80000001
Oahu_H-Power	2020040210	42.80000001
Oahu_H-Power	2020040212	42.80000001
Oahu_H-Power	2020040214	42.80000001
Oahu_H-Power	2020040216	42.80000001
Oahu_H-Power	2020040218	42.80000001
Oahu_H-Power	2020040220	42.80000001
Oahu_H-Power	2020040222	42.80000001
Oahu_H-Power	2020060200	42.80000001
Oahu_H-Power	2020060202	42.80000001
Oahu_H-Power	2020060204	42.80000001
Oahu_H-Power	2020060206	42.80000001
Oahu_H-Power	2020060208	42.80000001
Oahu_H-Power	2020060210	42.80000001
Oahu_H-Power	2020060212	42.80000001
Oahu_H-Power	2020060214	42.80000001
Oahu_H-Power	2020060216	42.80000001
Oahu_H-Power	2020060218	42.80000001
Oahu_H-Power	2020060220	42.80000001
Oahu_H-Power	2020060222	42.80000001
Oahu_H-Power	2020080200	42.80000001
Oahu_H-Power	2020080202	42.80000001
Oahu_H-Power	2020080204	42.80000001
Oahu_H-Power	2020080206	42.80000001
Oahu_H-Power	2020080208	42.80000001
Oahu_H-Power	2020080210	42.80000001
Oahu_H-Power	2020080212	42.80000001
Oahu_H-Power	2020080214	42.80000001
Oahu_H-Power	2020080216	42.80000001
Oahu_H-Power	2020080218	42.80000001
Oahu_H-Power	2020080220	42.80000001
Oahu_H-Power	2020080222	42.80000001
Oahu_H-Power	2020100200	42.80000001
Oahu_H-Power	2020100202	42.80000001
Oahu_H-Power	2020100204	42.80000001
Oahu_H-Power	2020100206	42.80000001
Oahu_H-Power	2020100208	42.80000001
Oahu_H-Power	2020100210	42.80000001
Oahu_H-Power	2020100212	42.80000001
Oahu_H-Power	2020100214	42.80000001
Oahu_H-Power	2020100216	42.80000001
Oahu_H-Power	2020100218	42.80000001
Oahu_H-Power	2020100220	42.80000001
Oahu_H-Power	2020100222	42.80000001
Oahu_H-Power	2020120200	42.80000001
Oahu_H-Power	2020120202	42.80000001
Oahu_H-Power	2020120204	42.80000001
Oahu_H-Power	2020120206	42.80000001
Oahu_H-Power	2020120208	42.80000001
Oahu_H-Power	2020120210	42.80000001
Oahu_H-Power	2020120212	42.80000001
Oahu_H-Power	2020120214	42.80000001
Oahu_H-Power	2020120216	42.80000001
Oahu_H-Power	2020120218	42.80000001
Oahu_H-Power	2020120220	42.80000001
Oahu_H-Power	2020120222	42.80000001
Oahu_H-Power	2022020600	42.80000001
Oahu_H-Power	2022020602	42.80000001
Oahu_H-Power	2022020604	42.80000001
Oahu_H-Power	2022020606	42.80000001
Oahu_H-Power	2022020608	42.80000001
Oahu_H-Power	2022020610	42.80000001
Oahu_H-Power	2022020612	42.80000001
Oahu_H-Power	2022020614	42.80000001
Oahu_H-Power	2022020616	42.80000001
Oahu_H-Power	2022020618	42.80000001
Oahu_H-Power	2022020620	42.80000001
Oahu_H-Power	2022020622	42.80000001
Oahu_H-Power	2022040600	42.80000001
Oahu_H-Power	2022040602	42.80000001
Oahu_H-Power	2022040604	42.80000001
Oahu_H-Power	2022040606	42.80000001
Oahu_H-Power	2022040608	42.80000001
Oahu_H-Power	2022040610	42.80000001
Oahu_H-Power	2022040612	42.80000001
Oahu_H-Power	2022040614	42.80000001
Oahu_H-Power	2022040616	42.80000001
Oahu_H-Power	2022040618	42.80000001
Oahu_H-Power	2022040620	42.80000001
Oahu_H-Power	2022040622	42.80000001
Oahu_H-Power	2022060600	42.80000001
Oahu_H-Power	2022060602	42.80000001
Oahu_H-Power	2022060604	42.80000001
Oahu_H-Power	2022060606	42.80000001
Oahu_H-Power	2022060608	42.80000001
Oahu_H-Power	2022060610	42.80000001
Oahu_H-Power	2022060612	42.80000001
Oahu_H-Power	2022060614	42.80000001
Oahu_H-Power	2022060616	42.80000001
