GENERATION_PROJECT	gen_load_zone	gen_tech	gen_connect_cost_per_mw	gen_capacity_limit_mw	gen_unit_size	gen_max_age	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_is_variable	gen_is_baseload	gen_is_cogen	gen_non_cycling	gen_variable_om	gen_energy_source	gen_full_load_heat_rate	gen_hawaii_share
Oahu_DistPV_Oahu_DistPV_16	Oahu	DistPV	0	116.6716843	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_17	Oahu	DistPV	0	272.8128662	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_18	Oahu	DistPV	0	224.1216888	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_19	Oahu	DistPV	0	70.93460083	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_2	Oahu	DistPV	0	42.677845	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_3	Oahu	DistPV	0	32.61106491	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_4	Oahu	DistPV	0	92.00308228	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_5	Oahu	DistPV	0	141.7788086	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_6	Oahu	DistPV	0	137.7799377	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_7	Oahu	DistPV	0	418.8008728	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_8	Oahu	DistPV	0	180.9135132	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_9	Oahu	DistPV	0	199.8217926	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_H-Power	Oahu	H-Power	0	73	73	61	0.41369863	0	0	1	1	1	18	MSW	.	1
Oahu_IC_Barge	Oahu	IC_Barge	160844.5698	1007.18352	16.786392	30	0.02	0	0	0	0	0	20.96	multiple	.	1
Oahu_IC_MCBH	Oahu	IC_MCBH	498334.3991	274.9158	9.16386	30	0.02	0	0	0	0	0	20.96	multiple	.	1
Oahu_IC_Schofield	Oahu	IC_Schofield	274629.5411	54.98316	9.16386	30	0.02	0	0	0	0	0	20.96	multiple	.	1
Oahu_Kahe_4	Oahu	Kahe_4	0	85.3	85.3	50	0	0	0	0	0	1	0.32	multiple	.	1
Oahu_Kahe_5	Oahu	Kahe_5	0	134.3	134.3	61	0	0	0	0	0	1	0.32	multiple	.	1
Oahu_Kahe_6	Oahu	Kahe_6	0	134.4	134.4	61	0	0	0	0	0	1	0.32	multiple	.	1
Oahu_Kalaeloa_CC1	Oahu	Kalaeloa_CC1	0	90	90	61	0	0	0	0	0	1	6	multiple	.	1
Oahu_Kalaeloa_CC2	Oahu	Kalaeloa_CC2	0	90	90	61	0	0	0	0	0	0	6	multiple	.	1
Oahu_Kalaeloa_CC3	Oahu	Kalaeloa_CC3	0	28	28	61	0	0	0	0	0	0	6	multiple	.	1
Oahu_OffshoreWind_OffWind	Oahu	OffshoreWind	512500	800	.	25	0	0	1	0	0	0	0	WND	.	1
Oahu_OnshoreWind_OnWind_101	Oahu	OnshoreWind	491944.6856	20	.	25	0	0	1	0	0	0	0	WND	.	1
Oahu_OnshoreWind_OnWind_102	Oahu	OnshoreWind	471955.0606	305	.	25	0	0	1	0	0	0	0	WND	.	1
Oahu_OnshoreWind_OnWind_103	Oahu	OnshoreWind	484553.5971	100	.	25	0	0	1	0	0	0	0	WND	.	1
Oahu_OnshoreWind_OnWind_104	Oahu	OnshoreWind	472249.8051	27.5	.	25	0	0	1	0	0	0	0	WND	.	1
Oahu_OnshoreWind_OnWind_105	Oahu	OnshoreWind	479420.8094	17.5	.	25	0	0	1	0	0	0	0	WND	.	1
Oahu_OnshoreWind_OnWind_106	Oahu	OnshoreWind	470889.6357	60	.	25	0	0	1	0	0	0	0	WND	.	1
Oahu_OnshoreWind_OnWind_107	Oahu	OnshoreWind	467895.6076	20	.	25	0	0	1	0	0	0	0	WND	.	1
Oahu_OnshoreWind_OnWind_201	Oahu	OnshoreWind	474605.6868	37.5	.	25	0	0	1	0	0	0	0	WND	.	1
Oahu_OnshoreWind_OnWind_202	Oahu	OnshoreWind	483439.8791	220	.	25	0	0	1	0	0	0	0	WND	.	1
Oahu_OnshoreWind_OnWind_203	Oahu	OnshoreWind	470713.8516	50	.	25	0	0	1	0	0	0	0	WND	.	1
Oahu_OnshoreWind_OnWind_204	Oahu	OnshoreWind	480562.3538	15	.	25	0	0	1	0	0	0	0	WND	.	1
Oahu_OnshoreWind_OnWind_205	Oahu	OnshoreWind	482763.3902	20	.	25	0	0	1	0	0	0	0	WND	.	1
