GENERATION_PROJECT	build_year	gen_predetermined_cap
Mines_Coal_Underground	1990	32.31443906
NonHawaii_Coal_railroad	1990	99.43285619
NonHawaii_OilPipeline_Offshore	1990	37.09616282
NonHawaii_OilPipeline_Onshore	1990	77.94400294
Wells_Conventional_Oil	1990	47.71992142
Wells_Offshore_Oil	1990	24.11428355
Oahu_Kalaeloa_CC2	1991	90
Oahu_Kalaeloa_CC3	1991	28
Oahu_AES	1992	185
Hawaii_GasDistribution	1995	56.06283751
Hawaii_GasService	1995	52.77469813
Mines_Coal_Surface	1995	11.8590734
Mines_Coal_Underground	1995	11.57502123
NonHawaii_Coal_railroad	1995	147.0925211
NonHawaii_OilPipeline_Offshore	1995	37.09616282
NonHawaii_OilPipeline_Onshore	1995	77.94400294
Wells_Conventional_Oil	1995	49.62654294
Wells_Offshore_Oil	1995	44.29056192
Hawaii_GasDistribution	2000	44.57535592
Hawaii_GasService	2000	25.60171097
Hawaii_GasTransmission_Onshore	2000	0.657894737
Hawaii_OilPipeline_Onshore	2000	635.2489019
Mines_Coal_Surface	2000	14.6430074
Mines_Coal_Underground	2000	21.3127611
NonHawaii_Coal_railroad	2000	122.0507781
NonHawaii_OilPipeline_Offshore	2000	55.69047941
NonHawaii_OilPipeline_Onshore	2000	65.48764472
Wells_Conventional_Oil	2000	51.86906254
Wells_Offshore_Oil	2000	54.8249657
Hawaii_GasDistribution	2005	44.57535592
Hawaii_GasService	2005	25.60171097
Hawaii_GasTransmission_Onshore	2005	0.657894737
Hawaii_OilPipeline_Onshore	2005	635.2489019
Mines_Coal_Surface	2005	42.82410787
Mines_Coal_Underground	2005	57.18264551
NonHawaii_Coal_railroad	2005	161.9154405
NonHawaii_OilPipeline_Offshore	2005	55.69047941
NonHawaii_OilPipeline_Onshore	2005	65.48764472
Wells_Conventional_Oil	2005	84.45117689
Wells_Offshore_Oil	2005	37.92769246
Wells_Shale_Oil	2005	36.57450302
Oahu_CIP_CT	2009	113
Hawaii_GasDistribution	2010	13.00932744
Hawaii_GasService	2010	26.15670302
Hawaii_GasTransmission_Onshore	2010	6.578947368
Mines_Coal_Surface	2010	39.40261931
Mines_Coal_Underground	2010	79.78189205
NonHawaii_Coal_railroad	2010	213.0148952
NonHawaii_OilPipeline_Offshore	2010	8.507384861
NonHawaii_OilPipeline_Onshore	2010	220.419807
Wells_Conventional_Oil	2010	120.385874
Wells_Offshore_Oil	2010	36.35377
Wells_Shale_Oil	2010	298.3958645
Oahu_OnshoreWind_OnWind_Kahuku	2011	30
Oahu_CentralTrackingPV_PV_04	2012	5
Oahu_OnshoreWind_OnWind_Kawailoa	2012	69
Oahu_Airport_DSG	2013	8
Hawaii_GasDistribution	2015	7.805596465
Hawaii_GasService	2015	15.69402181
Hawaii_GasTransmission_Onshore	2015	3.947368421
Mines_Coal_Surface	2015	2.291848923
Mines_Coal_Underground	2015	11.62586385
NonHawaii_Coal_railroad	2015	144.4249268
NonHawaii_OilPipeline_Offshore	2015	5.104430917
NonHawaii_OilPipeline_Onshore	2015	132.2518842
Wells_Conventional_Oil	2015	18.25686073
Wells_Offshore_Oil	2015	6.241306341
Wells_Shale_Oil	2015	96.01246911
Oahu_CentralTrackingPV_PV_01	2016	27.6
Oahu_DistPV_Oahu_DistPV_1	2016	48.80493237
Oahu_DistPV_Oahu_DistPV_10	2016	62.52717622
Oahu_DistPV_Oahu_DistPV_11	2016	57.17331286
Oahu_DistPV_Oahu_DistPV_2	2016	10.18510011
Oahu_DistPV_Oahu_DistPV_3	2016	7.782655398
Oahu_DistPV_Oahu_DistPV_5	2016	33.8356203
Oahu_DistPV_Oahu_DistPV_6	2016	32.88128674
Oahu_DistPV_Oahu_DistPV_7	2016	99.94714623
Oahu_DistPV_Oahu_DistPV_8	2016	43.17514726
Oahu_DistPV_Oahu_DistPV_9	2016	47.6876225
Mines_Coal_Surface	2020	917
Mines_Coal_Underground	2020	817
NonHawaii_Coal_railroad	2020	884
NonHawaii_OilPipeline_Offshore	2020	361
Oahu_Coal_Generic	2020	185
Oahu_OnshoreWind_OnWind_503	2020	117.5
Wells_Offshore_Oil	2020	26.6
Hawaii_OilPipeline_Onshore	2022	1809
NonHawaii_Coal_railroad	2022	102
NonHawaii_GasTransmission_Offshore	2022	449
