regional_fuel_market	fuel	tier	period	unit_cost	original_unadjusted
Hawaii_LNG	LNG	bulk_30	2040	12.68062871	20.12901869
Hawaii_LNG	LNG	bulk_30	2045	13.86760114	22.01319894
Hawaii_LNG	LNG	bulk_30	2050	14.14495316	22.45346292
Hawaii_LNG	LNG	bulk_30	2055	14.42785222	22.90253218
Hawaii_LNG	LNG	bulk_30	2060	14.71640927	23.36058282
Hawaii_LNG	LNG	bulk_30	2065	15.01073745	23.82779448
Hawaii_LNG	LNG	bulk_30	2070	15.3109522	24.30435037
Hawaii_LNG	LNG	bulk_30	2075	15.61717125	24.79043738
Hawaii_LNG	LNG	bulk_30	2080	15.92951467	25.28624612
Hawaii_LNG	LNG	bulk_30	2085	16.24810497	25.79197105
Hawaii_LNG	LNG	bulk_30	2090	16.57306706	26.30781047
Hawaii_LNG	LNG	bulk_30	2095	16.90452841	26.83396668
Hawaii_LNG	LNG	container_10	2020	7.026605462	11.15391641
Hawaii_LNG	LNG	container_10	2022	7.719427088	12.25368991
Hawaii_LNG	LNG	container_10	2025	8.576342638	13.61394338
Hawaii_LNG	LNG	container_10	2030	9.738686111	15.45902804
Hawaii_LNG	LNG	container_10	2035	11.05148565	17.54294415
Hawaii_LNG	LNG	container_10	2040	12.68062871	20.12901869
Hawaii_LNG	LNG	container_10	2045	13.86760114	22.01319894
Hawaii_LNG	LNG	container_10	2050	14.14495316	22.45346292
Hawaii_LNG	LNG	container_10	2055	14.42785222	22.90253218
Hawaii_LNG	LNG	container_10	2060	14.71640927	23.36058282
Hawaii_LNG	LNG	container_10	2065	15.01073745	23.82779448
Hawaii_LNG	LNG	container_10	2070	15.3109522	24.30435037
Hawaii_LNG	LNG	container_10	2075	15.61717125	24.79043738
Hawaii_LNG	LNG	container_10	2080	15.92951467	25.28624612
Hawaii_LNG	LNG	container_10	2085	16.24810497	25.79197105
Hawaii_LNG	LNG	container_10	2090	16.57306706	26.30781047
Hawaii_LNG	LNG	container_10	2095	16.90452841	26.83396668
Hawaii_LNG	LNG	container_15	2020	7.026605462	11.15391641
Hawaii_LNG	LNG	container_15	2022	7.719427088	12.25368991
Hawaii_LNG	LNG	container_15	2025	8.576342638	13.61394338
Hawaii_LNG	LNG	container_15	2030	9.738686111	15.45902804
Hawaii_LNG	LNG	container_15	2035	11.05148565	17.54294415
Hawaii_LNG	LNG	container_15	2040	12.68062871	20.12901869
Hawaii_LNG	LNG	container_15	2045	13.86760114	22.01319894
Hawaii_LNG	LNG	container_15	2050	14.14495316	22.45346292
Hawaii_LNG	LNG	container_15	2055	14.42785222	22.90253218
Hawaii_LNG	LNG	container_15	2060	14.71640927	23.36058282
Hawaii_LNG	LNG	container_15	2065	15.01073745	23.82779448
Hawaii_LNG	LNG	container_15	2070	15.3109522	24.30435037
Hawaii_LNG	LNG	container_15	2075	15.61717125	24.79043738
Hawaii_LNG	LNG	container_15	2080	15.92951467	25.28624612
Hawaii_LNG	LNG	container_15	2085	16.24810497	25.79197105
Hawaii_LNG	LNG	container_15	2090	16.57306706	26.30781047
Hawaii_LNG	LNG	container_15	2095	16.90452841	26.83396668
Hawaii_LNG	LNG	container_20	2020	7.026605462	11.15391641
Hawaii_LNG	LNG	container_20	2022	7.719427088	12.25368991
Hawaii_LNG	LNG	container_20	2025	8.576342638	13.61394338
Hawaii_LNG	LNG	container_20	2030	9.738686111	15.45902804
Hawaii_LNG	LNG	container_20	2035	11.05148565	17.54294415
Hawaii_LNG	LNG	container_20	2040	12.68062871	20.12901869
Hawaii_LNG	LNG	container_20	2045	13.86760114	22.01319894
Hawaii_LNG	LNG	container_20	2050	14.14495316	22.45346292
Hawaii_LNG	LNG	container_20	2055	14.42785222	22.90253218
Hawaii_LNG	LNG	container_20	2060	14.71640927	23.36058282
Hawaii_LNG	LNG	container_20	2065	15.01073745	23.82779448
Hawaii_LNG	LNG	container_20	2070	15.3109522	24.30435037
Hawaii_LNG	LNG	container_20	2075	15.61717125	24.79043738
Hawaii_LNG	LNG	container_20	2080	15.92951467	25.28624612
Hawaii_LNG	LNG	container_20	2085	16.24810497	25.79197105
Hawaii_LNG	LNG	container_20	2090	16.57306706	26.30781047
Hawaii_LNG	LNG	container_20	2095	16.90452841	26.83396668
Hawaii_LNG	LNG	container_25	2020	7.026605462	11.15391641
Hawaii_LNG	LNG	container_25	2022	7.719427088	12.25368991
Hawaii_LNG	LNG	container_25	2025	8.576342638	13.61394338
Hawaii_LNG	LNG	container_25	2030	9.738686111	15.45902804
Hawaii_LNG	LNG	container_25	2035	11.05148565	17.54294415
Hawaii_LNG	LNG	container_25	2040	12.68062871	20.12901869
Hawaii_LNG	LNG	container_25	2045	13.86760114	22.01319894
Hawaii_LNG	LNG	container_25	2050	14.14495316	22.45346292
Hawaii_LNG	LNG	container_25	2055	14.42785222	22.90253218
Hawaii_LNG	LNG	container_25	2060	14.71640927	23.36058282
Hawaii_LNG	LNG	container_25	2065	15.01073745	23.82779448
Hawaii_LNG	LNG	container_25	2070	15.3109522	24.30435037
Hawaii_LNG	LNG	container_25	2075	15.61717125	24.79043738
Hawaii_LNG	LNG	container_25	2080	15.92951467	25.28624612
Hawaii_LNG	LNG	container_25	2085	16.24810497	25.79197105
Hawaii_LNG	LNG	container_25	2090	16.57306706	26.30781047
Hawaii_LNG	LNG	container_25	2095	16.90452841	26.83396668
Hawaii_LNG	LNG	container_30	2020	7.026605462	11.15391641
Hawaii_LNG	LNG	container_30	2022	7.719427088	12.25368991
Hawaii_LNG	LNG	container_30	2025	8.576342638	13.61394338
Hawaii_LNG	LNG	container_30	2030	9.738686111	15.45902804
Hawaii_LNG	LNG	container_30	2035	11.05148565	17.54294415
Hawaii_LNG	LNG	container_30	2040	12.68062871	20.12901869
Hawaii_LNG	LNG	container_30	2045	13.86760114	22.01319894
Hawaii_LNG	LNG	container_30	2050	14.14495316	22.45346292
Hawaii_LNG	LNG	container_30	2055	14.42785222	22.90253218
Hawaii_LNG	LNG	container_30	2060	14.71640927	23.36058282
Hawaii_LNG	LNG	container_30	2065	15.01073745	23.82779448
Hawaii_LNG	LNG	container_30	2070	15.3109522	24.30435037
Hawaii_LNG	LNG	container_30	2075	15.61717125	24.79043738
Hawaii_LNG	LNG	container_30	2080	15.92951467	25.28624612
Hawaii_LNG	LNG	container_30	2085	16.24810497	25.79197105
Hawaii_LNG	LNG	container_30	2090	16.57306706	26.30781047
Hawaii_LNG	LNG	container_30	2095	16.90452841	26.83396668
Hawaii_LSFO	LSFO	base	2020	6.514208997	14.66798763
Hawaii_LSFO	LSFO	base	2022	7.184368162	16.17697919
Hawaii_LSFO	LSFO	base	2025	8.013253675	18.04337347
Hawaii_LSFO	LSFO	base	2030	9.137576446	20.57500126
Hawaii_LSFO	LSFO	base	2035	10.40743381	23.43432803
Hawaii_LSFO	LSFO	base	2040	11.98328697	26.98266286
Hawaii_LSFO	LSFO	base	2045	13.13143308	29.56793343
Hawaii_LSFO	LSFO	base	2050	13.39406174	30.1592921
Hawaii_LSFO	LSFO	base	2055	13.66194297	30.76247794
Hawaii_LSFO	LSFO	base	2060	13.93518183	31.3777275
Hawaii_LSFO	LSFO	base	2065	14.21388547	32.00528205
Hawaii_LSFO	LSFO	base	2070	14.49816318	32.64538769
Hawaii_LSFO	LSFO	base	2075	14.78812644	33.29829544
Hawaii_LSFO	LSFO	base	2080	15.08388897	33.96426135
Hawaii_LSFO	LSFO	base	2085	15.38556675	34.64354658
Hawaii_LSFO	LSFO	base	2090	15.69327809	35.33641751
Hawaii_LSFO	LSFO	base	2095	16.00714365	36.04314586
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2020	13.99957813	13.99957813
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2022	13.99957813	13.99957813
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2025	13.99957813	13.99957813
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2030	13.99957813	13.99957813
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2035	13.99957813	13.99957813
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2040	13.99957813	13.99957813
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2045	13.99957813	13.99957813
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2050	14.02757728	14.02757728
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2055	14.05563244	14.05563244
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2060	14.0837437	14.0837437
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2065	14.11191119	14.11191119
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2070	14.14013501	14.14013501
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2075	14.16841528	14.16841528
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2080	14.19675211	14.19675211
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2085	14.22514562	14.22514562
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2090	14.25359591	14.25359591
Hawaii_Pellet-Biomass	Pellet-Biomass	base	2095	14.2821031	14.2821031
